CASEID,immopi,illegchild,birthcit,wallmex,0,1,10,11,12,13,14,2,3,4,5,6,7,8,9
300001,4.333333333333333,2,4,7,0.21201392161763377,0.017628823386298287,0.009454575098223155,0.35220648613240985,0.04887020132607884,0.07667378195457988,0.011752949903408685,0.005815633344981405,0.008195550450020368,0.028883848215142886,0.03663549559811751,0.028362093410558172,0.10162684263454544,0.02694928265280194,0.020223109134369425
300004,3.3333333333333335,2,4,4,0.03087498718372813,0.0016622183233063173,0.002272885350162046,0.06084854306793166,0.02850789163698006,0.02016188748143418,0.007946302008349448,0.004173763571762955,0.0020126597451085183,0.05100772357374833,0.01345254999334709,0.08392210974572943,0.6460454471057633,0.03433278897798366,0.009660412811420181
300007,3.6666666666666665,2,2,7,0.018798879050651387,0.008286114039082713,0.0051524432063394816,0.04353186254388603,0.029908510810303764,0.05401696219793628,0.21824900059406585,0.003172074850600659,0.005500564350250614,0.05365569736712489,0.03808650695123499,0.10323292431389046,0.36501925702187105,0.03138419336013661,0.014085723570687774
300008,2.0,1,4,1,0.11180387113440221,0.010150514625353553,0.00577857167732836,0.21479734563691882,0.0351813733271991,0.05090828750325867,0.009459197532112103,0.003936671262740024,0.005216825698610882,0.03199117990556035,0.02423652122761452,0.10040998220498154,0.33774888166952155,0.03678644399266504,0.012861711935047463
300012,3.6666666666666665,3,1,7,0.0,0.0,0.0,0.0,0.0,0.051206977824208695,0.20601689170386334,0.0037239814135455835,0.0,0.0,0.03660936059149651,0.0,0.3545454912229203,0.0,0.0
300018,6.666666666666667,6,7,7,0.004511283044910685,0.0028413637791822326,0.0020918443276544754,0.009180082301320313,0.004562493309874704,0.12583768802985104,0.7181558259632791,0.0044254361439821565,0.001813282592368636,0.0048142454249612944,0.06482021141730963,0.008208059245788376,0.016504238400244904,0.008218491572122611,0.0038340175611687767
300020,2.3333333333333335,2,4,1,0.0,0.0,0.0,0.0,0.0,0.19957769792083474,0.3102651434728787,0.0013451845274262484,0.0,0.0,0.04566792629082643,0.0,0.0,0.0,0.0
300023,3.0,1,7,1,0.14592905668004227,0.010285268270264113,0.0025358120675640877,0.19261689698471438,0.04875532412581673,0.051360236752299865,0.005294023835588069,0.002538367425875058,0.002198129002687563,0.03354861119004104,0.029728240658049333,0.10136556899387383,0.33267194609470874,0.02516422230914278,0.012441786398511772
300026,3.3333333333333335,2,7,1,0.0,0.0,0.0,0.0,0.0,0.047179161478558274,0.13309524865680528,0.0,0.0,0.0,0.0,0.0,0.30918361518726445,0.0,0.0
300030,3.6666666666666665,3,1,7,0.0,0.0,0.0,0.17162296805917934,0.032117425405406616,0.039454734861700945,0.0150459311535168,0.0,0.0,0.045742213731568684,0.0,0.08887172680475519,0.41146444683522565,0.03846534492001126,0.0
